INDEX;BT;QGOAP;
0;1,513216;1,506783;
1;2,256739;2,00326;
2;3,41848;1,821518;
3;2,945285;1,914713;
4;2,674234;1,905766;
5;1,887899;1,192099;
6;2,683405;1,696594;
7;3,906404;1,853592;
8;2,248547;2,171452;
9;2,607319;2,19268;
10;1,791512;1,548489;
11;2,849873;1,330124;
12;1,987049;1,892952;
13;2,681984;1,658012;
14;2,431896;1,828106;
15;2,785461;1,494537;
16;2,269951;2,150047;
17;2,281273;1,25872;
18;2,824303;1,855698;
19;2,511368;1,40863;
20;2,071663;1,40834;
21;3,185593;1,834404;
22;2,029007;2,030991;
23;2,347069;1,352928;
24;2,143166;1,796837;
25;1,680031;1,559967;
26;2,572182;2,007813;
27;3,575333;1,464668;
28;2,23716;1,302841;
29;2,059296;1,9207;
30;2,560982;1,319016;
31;3,649887;1,430115;
32;2,691696;1,808304;
33;2,450272;1,36972;
34;1,903152;1,276855;
35;1,587112;1,432877;
36;2,60347;2,736526;
37;2,353683;1,566315;
38;3,075638;1,784363;
39;2,868454;1,811554;
40;2,322891;2,337097;
41;2,977463;1,522537;
42;2,923416;2,67659;
43;2,73996;1,340027;
44;1,928558;1,131439;
45;1,941849;1,518158;
46;1,8909;1,549103;
47;2,485611;1,414383;
48;2,299271;1,520721;
49;2,097366;1,402634;
50;1,546066;2,193939;
51;1,806152;1,493851;
52;1,638321;2,041672;
53;2,231384;1,348618;
54;2,881134;1,218857;
55;1,682098;1,317902;
56;2,008362;1,751648;
57;2,46199;1,518005;
58;2,199738;1,900253;
59;2,236099;1,203903;
60;1,744049;1,855957;
61;2,114746;1,325241;
62;1,485611;1,574387;
63;1,770782;1,16922;
64;2,823639;1,45636;
65;2,521332;2,058655;
66;2,706879;1,653137;
67;2,682251;1,657745;
68;2,156281;1,923706;
69;2,309814;1,630188;
70;2,041565;1,158447;
71;2,343231;1,396759;
72;1,954407;1,345581;
73;3,539612;2,080414;
74;1,227753;2,712219;
75;2,233551;1,50647;
76;3,039703;1,740295;
77;3,943359;1,696625;
78;3,02951;1,47049;
79;2,925934;1,534058;
80;2,616089;1,623932;
81;2,751068;1,388916;
82;1,396973;1,463013;
83;2,387482;2,032532;
84;2,597168;2,20282;
85;3,16684;1,933167;
86;2,746368;1,653625;
87;2,37149;1,388519;
88;2,820374;2,099609;
89;1,725403;1,734619;
90;1,974457;1,965515;
91;1,791077;2,008942;
92;1,84201;1,797974;
93;1,525879;2,314117;
94;2,091187;2,00882;
95;2,474609;2,205383;
96;1,708527;1,691467;
97;2,300629;1,559387;
98;2,781647;1,758362;
99;2,624359;1,935638;
