INDEX;BT;QGOAP;
0;1,665099;3,4549;
1;1,797221;3,462777;
2;1,695119;1,644879;
3;2,094766;1,585234;
4;2,691864;2,128134;
5;1,605852;1,434147;
6;1,953634;1,906364;
7;1,77136;1,788639;
8;1,759235;2,140762;
9;2,406693;1,553307;
10;2,958832;2,461166;
11;2,330185;2,269814;
12;2,087929;1,592068;
13;1,518242;2,341759;
14;1,781982;2,658016;
15;2,217613;2,602386;
16;1,350761;1,549232;
17;2,526161;3,313843;
18;2,226219;1,373779;
19;2,24855;1,971443;
20;2,091507;1,828491;
21;2,08316;1,616844;
22;2,183311;1,756683;
23;2,031662;2,268333;
24;1,607956;2,252045;
25;1,958054;1,441948;
26;2,400749;1,87925;
27;1,495903;1,464096;
28;1,547417;1,692581;
29;2,144882;1,475113;
30;1,750084;1,669914;
31;2,549904;1,690094;
32;3,09549;2,364517;
33;1,579865;1,820129;
34;2,305283;1,834717;
35;2,272522;1,627472;
36;2,05249;2,127518;
37;2,09584;1,104156;
38;1,486969;1,433029;
39;1,454605;1,425385;
40;2,192978;1,927032;
41;1,650253;1,809738;
42;2,368256;2,23175;
43;1,476257;2,803741;
44;2,192642;2,507355;
45;2,511063;1,508926;
46;2,19664;1,283371;
47;1,607025;1,772964;
48;1,701584;1,218414;
49;1,697845;2,162155;
50;1,541855;1,498138;
51;2,469711;2,450287;
52;1,989731;1,99028;
53;1,368546;1,691452;
54;1,389542;2,150452;
55;1,606445;3,13356;
56;1,575668;2,464325;
57;2,325668;1,514328;
58;2,509186;1,530807;
59;2,019196;1,680817;
60;1,66066;1,659332;
61;2,071732;2,108261;
62;2,390137;2,129868;
63;2,35141;1,548584;
64;2,33255;1,787445;
65;1,043213;1,456787;
66;1,802094;2,237915;
67;1,706207;1,593781;
68;2,104156;1,675842;
69;2,944214;1,555786;
70;1,691498;1,988495;
71;1,37384;1,726166;
72;3,091217;1,588776;
73;1,882935;1,917084;
74;2,033081;1,506897;
75;2,07135;2,488647;
76;2,054779;2,665222;
77;1,516663;1,483337;
78;1,348816;2,071198;
79;1,93335;1,386658;
80;2,079041;1,520935;
81;1,75116;2,068848;
82;1,975983;1,904022;
83;1,320709;2,319275;
84;1,740784;1,979218;
85;1,870392;2,789612;
86;1,815613;1,524384;
87;2,181091;1,2789;
88;1,806152;2,553864;
89;1,966705;2,173279;
90;2,34082;1,699188;
91;2,330048;1,609955;
92;2,159637;1,240356;
93;2,409729;1,850281;
94;2,548553;2,591431;
95;2,319336;2,460663;
96;2,107727;2,092285;
97;2,090118;2,709869;
98;1,042786;1,197205;
99;1,869934;1,410065;
100;1,624817;2,155182;
101;2,02301;2,356995;
102;2,062653;2,017334;
103;2,669006;1,890991;
104;2,006042;1,913971;
105;1,556641;1,623352;
106;2,55777;1,282227;
107;1,457886;1,922119;
108;1,335693;1,384308;
109;2,340912;1,61908;
110;1,883423;1,496582;
111;2,12796;1,592041;
112;1,942902;1,637085;
113;2,362061;1,697937;
114;3,420593;1,339417;
115;1,572235;2,327759;
116;1,765137;1,414856;
117;1,779083;1,360931;
118;2,349823;1,410156;
119;1,738159;1,54184;
120;1,991028;2,128998;
121;1,390839;1,489136;
122;2,474457;1,585541;
123;2,094147;1,885864;
124;1,048767;1,711243;
125;2,46759;1,312408;
126;1,552216;1,367767;
127;2,194458;1,945557;
128;2,339294;1,600708;
129;1,515778;2,204193;
130;2,128418;1,491608;
131;1,662933;1,177063;
132;1,434601;2,185364;
133;2,286621;1,573425;
134;1,701233;2,23877;
135;1,858093;1,461853;
136;1,585266;3,694763;
137;1,915771;1,644226;
138;1,387512;1,332458;
139;2,223999;2,416016;
140;2,169983;1,429993;
141;1,909851;2,290161;
142;1,455811;1,904175;
143;1,282654;1,957397;
144;1,611572;1,56842;
145;1,617126;1,722839;
146;1,288818;1,811218;
147;2,636047;1,783936;
148;2,466614;2,053406;
149;1,561218;1,678772;
150;2,32959;1,550415;
151;1,825195;1,474792;
152;2,398926;1,241089;
153;2,423096;1,556885;
154;1,327515;2,672485;
155;1,765625;2,174377;
156;2,318542;2,061462;
157;1,669373;1,690613;
158;1,913513;1,48645;
159;2,078552;1,681458;
160;1,566528;2,293457;
161;1,528259;2,831787;
162;2,387146;1,652832;
163;1,821472;1,458496;
164;1,60083;1,39917;
165;1,809631;1,630371;
166;1,472351;1,447693;
167;1,983582;1,996399;
168;1,826904;1,493103;
169;1,934143;2,045837;
170;2,308105;1,591919;
171;2,346252;2,213745;
172;3,658142;1,561829;
173;1,886047;2,013977;
174;1,546936;1,973022;
175;1,468689;2,031311;
176;1,25116;2,24884;
177;1,511292;1,988708;
178;2,11084;1,729187;
179;2,266663;2,013306;
180;2,485352;1,894653;
181;1,91333;2,266663;
182;2,250977;2,389038;
183;1,605591;1,594421;
184;1,697571;2,982422;
185;1,609985;1,549988;
186;1,830139;1,509888;
187;1,931274;2,168701;
188;1,873962;2,58606;
189;2,313538;1,326477;
190;2,005798;2,334167;
191;2,498962;1,981079;
192;2,760742;1,479248;
193;2,406128;1,613831;
194;2,169922;1,750122;
195;2,175049;1,664917;
196;1,496155;1,40387;
197;1,376404;2,103577;
198;1,663513;1,436462;
199;2,05249;2,387512;
200;1,563232;1,936768;
