INDEX;BT;QGOAP;
0;2,357521;5,502477;
1;2,889299;12,1307;
2;1,483013;2,456985;
3;2,47575;1,264248;
4;1,696903;6,023094;
5;1,708187;5,33181;
6;1,471775;1,808224;
7;1,762836;6,617165;
8;1,449768;11,65022;
9;2,121651;8,73835;
10;1,896973;5,28302;
11;2,291855;1,308144;
12;1,878967;6,761032;
13;1,491951;2,468048;
14;1,775421;1,404579;
15;2,139275;11,12072;
16;2,156784;9,223206;
17;1,522827;13,57718;
18;2,233231;5,146759;
19;2,264359;4,395645;
20;2,693192;1,366806;
21;2,161743;4,118256;
22;1,759949;4,780045;
23;1,505112;6,474884;
24;2,474762;3,245239;
25;1,385544;6,174454;
26;1,027969;2,072021;
27;1,445923;3,374084;
28;1,949341;6,250656;
29;1,381393;6,278595;
30;1,025528;7,254471;
31;1,42424;6,635757;
32;1,989975;14,09003;
33;1,819305;2,860687;
34;1,563049;4,076935;
35;2,247803;6,172211;
36;1,605286;2,014709;
37;1,302765;5,357239;
38;1,534973;2,065033;
39;1,44693;2,033051;
40;2,303192;6,736816;
41;1,313171;1,306824;
42;1,661224;6,438782;
43;1,95871;4,601288;
44;1,937866;6,042114;
45;1,683502;2,916504;
46;2,18866;5,511322;
47;1,435059;8,304962;
48;1,030426;2,229553;
49;2,831696;2,888306;
50;1,400452;6,459564;
51;2,344666;2,25531;
52;1,641449;9,198547;
53;2,133423;10,32657;
54;2,340149;4,19986;
55;1,769623;9,630371;
56;1,393219;6,64679;
57;1,81015;1,229858;
58;1,428894;2,411102;
59;1,469055;12,61093;
60;1,356934;4,683075;
61;1,406616;7,453369;
62;1,709412;2,170593;
63;2,096039;2,023956;
64;2,341949;8,738037;
65;1,692352;1,307648;
66;2,338226;1,121765;
67;1,648315;1,451691;
68;2,020355;1,09964;
69;2,638062;4,001953;
70;2,084778;3,935211;
71;1,741974;6,578003;
72;2,726563;4,553467;
73;1,786377;1,273621;
74;1,513672;7,406311;
75;1,276184;2,62384;
76;1,727417;6,192566;
77;1,333679;1,306335;
78;1,779419;4,040527;
79;1,591492;3,288513;
80;1,4646;6,915405;
81;2,608765;2,971252;
82;3,153015;5,766968;
83;1,887756;1,452271;
84;1,985962;9,794006;
85;1,352112;1,987915;
86;1,495605;10,56439;
87;1,606567;1,373413;
88;1,751526;1,988464;
89;1,603394;2,296631;
90;1,459229;10,10077;
91;2,065491;2,41449;
92;1,78833;1,531677;
93;1,419189;1,480774;
94;2,459351;2,000671;
95;2,214417;5,485596;
96;1,313416;1,466553;
97;1,72406;4,715942;
98;2,15686;1,923157;
99;2,31842;7,081543;
100;2,089905;5,330139;
101;1,035095;2,5849;
102;2,193359;1,306641;
103;1,306335;5,233643;
104;1,468018;6,731995;
105;1,397705;1,322266;
106;1,289917;11,37012;
107;2,604126;4,255859;
108;1,574219;4,985779;
109;2,111206;2,828796;
110;2,873291;4,466675;
111;2,045227;4,05481;
112;2,050415;5,129578;
113;2,654175;8,765808;
114;2,067261;2,372742;
115;1,429382;9,090576;
116;1,466431;2,893616;
117;1,443726;2,096252;
118;1,901855;1,018127;
119;2,379333;9,500671;
120;1,39325;6,12677;
121;1,340698;1,399292;
122;1,849243;9,870728;
123;1,51709;2,182922;
124;2,254333;4,90564;
125;2,32135;2,278687;
126;2,15863;4,001343;
127;1,374084;1,305908;
128;1,975586;4,004456;
129;1,698608;4,221375;
130;1,778687;3,141296;
131;1,583252;4,836731;
132;3,023865;2,796143;
133;2,494141;5,085876;
134;1,895508;5,444458;
135;3,079163;11,96088;
136;1,998718;4,221252;
137;1,686951;2,313049;
138;2,650024;8,889954;
139;1,429749;1,730286;
140;1,42688;1,953125;
141;2,071411;8,448547;
142;2,496033;2,544006;
143;2,164001;2,795959;
144;1,308411;1,271606;
145;1,472351;1,647644;
146;2,558838;1,381165;
147;1,4953;4,524719;
148;2,20697;5,112976;
149;1,459412;5,960632;
150;1,310181;1,40979;
151;1,542358;9,297668;
152;1,71344;4,246521;
153;1,819153;3,86084;
154;1,541016;1,739014;
155;1,687744;4,71228;
156;1,301514;4,298462;
157;1,547241;5,312744;
158;1,978638;9,661377;
159;1,713135;11,54688;
160;2,693481;1,866455;
161;1,032104;2,667969;
162;2,381958;2,297974;
163;1,878174;1,341797;
164;1,510254;6,069824;
165;2,369507;6,43042;
166;1,847656;3,772339;
167;1,583252;2,896729;
168;2,194946;11,7251;
169;1,871826;3,088135;
170;1,279419;5,940674;
171;1,41394;1,725952;
172;2,474121;1,965942;
173;2,311279;5,688721;
174;1,32373;2,716309;
175;1,940918;1,039063;
176;2,075073;1,544922;
177;1,387939;1,89209;
178;1,306519;7,493408;
179;1,42749;17,07251;
180;1,198853;1,101196;
181;1,72876;4,411133;
182;2,390991;8,149048;
183;2,136475;1,663574;
184;1,424438;6,475586;
185;2,17981;5,260132;
186;2,619385;9,400635;
187;1,800415;10,19958;
188;1,598022;2,261963;
189;2,283203;2,916748;
190;2,331665;12,18835;
191;3,241577;1,258423;
192;1,61084;1,529175;
193;1,876587;4,103394;
194;1,155396;6,644653;
195;2,668213;5,611694;
196;1,723145;2,996948;
197;3,363159;1,796753;
198;1,037476;1,402588;
199;1,288574;4,411377;
200;1,529297;16,71069;
201;1,675415;9,664551;
202;2,500488;5,159546;
203;1,508667;1,571289;
204;1,31897;1,281128;
205;2,391968;2,12793;
206;1,974976;1,125122;
207;1,292236;2,847778;
208;1,953857;11,02612;
209;1,344849;1,595093;
210;1,679565;1,340454;
211;1,451904;6,70813;
212;1,784668;5,655273;
213;1,708862;5,171143;
214;1,948975;1,031006;
215;1,491333;3,388672;
216;1,40686;1,493164;
217;2,611938;6,628052;
218;1,615723;9,424316;
219;1,375977;1,484009;
220;1,317505;4,442505;
221;1,49353;2,886475;
222;1,452393;1,527588;
223;2,11145;6,168457;
224;1,813965;1,986084;
225;2,045288;2,414673;
226;1,277954;9,962036;
227;1,590088;1,309937;
228;1,360229;2,39978;
229;1,420532;10,59949;
230;1,908203;7,551758;
231;1,406372;2,853638;
232;1,821411;2,438599;
233;1,480713;5,419312;
234;1,313599;3,846436;
235;1,791138;8,588745;
236;1,405762;1,054321;
237;2,380737;5,899292;
238;1,924194;3,135742;
239;1,450928;1,989014;
240;1,392944;1,26709;
241;1,301636;1,398438;
242;1,627319;3,512573;
243;1,926147;8,67395;
244;1,337402;3,122559;
245;1,318604;1,821411;
246;1,712891;2,147095;
247;1,936523;5,043457;
248;1,401978;3,317993;
249;1,313965;2,82605;
250;1,944946;5,115112;
251;2,598145;3,701782;
252;2,285278;12,47473;
253;2,08606;1,873901;
254;1,279541;12,54053;
255;2,053345;9,606567;
256;2,910889;7,38916;
257;1,464233;1,435791;
258;1,414185;5,025757;
259;2,028442;1,931641;
260;2,171265;27,92871;
261;1,25293;5,026978;
262;2,441162;3,858887;
263;1,51416;2,785889;
264;1,343994;2,796021;
265;1,317017;3,262939;
266;1,815918;5,724121;
267;1,763672;4,536255;
268;1,745972;2,874023;
269;1,58252;1,297485;
270;1,297607;15,02234;
271;2,111572;1,408447;
272;1,663208;9,636841;
273;1,981079;3,178955;
274;1,390503;1,209473;
275;2,720581;4,899414;
276;1,444702;2,71521;
277;2,092773;3,927246;
278;1,58606;1,973999;
279;1,403564;8,596436;
280;1,386963;13,55298;
281;2,471313;1,548706;
282;1,934082;4,745972;
283;2,039917;11,09998;
284;1,030151;13,50989;
285;1,296143;2,043823;
286;2,325806;8,754272;
287;2,444824;2,335083;
288;2,30542;1,894653;
289;2,197388;12,08264;
290;1,484497;5,875488;
291;1,764526;5,475464;
292;1,825195;5,354736;
293;1,380249;2,839722;
294;1,274292;14,38574;
295;1,348511;10,05151;
296;2,055908;6,604126;
297;1,924561;5,255371;
298;1,488892;5,091064;
299;1,442749;3,417358;
300;1,795532;3,564453;
301;1,41687;1,763062;
302;1,652954;4,847046;
303;2,158447;6,22168;
304;1,354248;4,065674;
305;1,95874;3,161133;
306;1,432617;2,247559;
307;1,518799;3,121094;
308;1,025879;17,47412;
309;1,906006;13,69409;
310;1,428467;2,591553;
311;1,920166;10,03979;
312;1,374512;1,665527;
313;1,345215;1,7146;
314;1,388672;2,051514;
315;1,356934;2,143066;
316;1,351318;3,628662;
317;1,358154;2,261719;
318;1,201904;2,398193;
319;1,374756;2,945068;
320;1,321045;1,539063;
321;1,316895;3,683105;
322;1,273926;1,865967;
323;1,673096;2,227051;
324;1,445313;3,69458;
325;1,309326;3,070801;
326;1,666748;5,413086;
327;1,536133;2,904053;
328;1,051025;12,72876;
329;1,429688;10,11035;
330;1,445801;1,674316;
331;1,677002;16,56299;
332;1,637451;11,92261;
333;1,884277;4,515625;
334;1,053467;1,786621;
335;1,737061;7,182861;
336;1,642578;0,9973145;
337;1,335449;1,104736;
338;1,345459;13,55444;
339;1,46875;0,9912109;
340;1,393311;4,486816;
341;1,05957;4,600342;
342;1,450684;5,169189;
343;1,258789;12,74121;
344;1,325439;12,2146;
345;1,892334;4,767822;
346;1,481445;1,658447;
347;1,348633;1,151367;
348;1,939209;2,580811;
349;1,544434;1,075439;
350;1,49585;1,50415;
351;1,50293;6,697266;
352;1,774902;2,165039;
353;1,643311;4,796631;
354;1,848389;4,47168;
355;1,984863;5,655029;
356;1,673828;4,16626;
357;1,376221;5,243652;
358;1,346191;4,213867;
359;2,441162;6,798828;
360;1,648193;2,331787;
361;1,60376;5,096191;
362;1,448975;8,451172;
363;1,485107;1,294922;
364;1,509766;1,230225;
365;2,034424;2,645508;
366;1,429932;6,969971;
367;1,538086;3,041992;
368;1,63208;1,62793;
369;2,314453;3,685547;
370;2,078369;2,621582;
371;1,934326;4,72583;
372;1,567383;1,652588;
373;1,341309;3,718506;
374;1,481934;1,098145;
375;1,134033;4,145996;
376;1,41626;3,543701;
377;1,567627;1,432373;
378;1,366211;7,913818;
379;1,8125;7,467529;
380;1,482422;2,097656;
381;1,683594;4,856201;
382;1,417969;1,202148;
383;1,522705;2,777344;
384;1,452393;2,027588;
385;1,244629;8,495361;
386;3,427246;6,192627;
387;2,002686;2,257324;
388;1,682373;5,317627;
389;1,882813;1,037354;
390;1,345459;7,094482;
391;2,152832;4,787109;
392;1,295166;3,104736;
393;2,207764;3,652344;
394;2,114258;1,025635;
395;1,573975;8,026123;
396;1,596924;1,383057;
397;1,901123;1,418945;
398;1,73877;13,96118;
399;1,52417;5,775879;
400;1,306152;3,61377;
401;1,362305;5,857666;
402;1,605713;3,414307;
403;1,476563;5,623535;
404;1,283447;2,356445;
405;1,329834;9,590088;
406;1,396973;2,043213;
407;1,961426;2,758545;
408;1,785645;6,754395;
409;1,366211;2,553711;
410;1,284424;1,555664;
411;1,302246;3,837646;
412;1,427002;5,512939;
413;1,703613;4,036377;
414;1,424561;5,775391;
415;1,619141;10,90088;
416;1,667725;1,112305;
417;1,325439;1,95459;
418;1,361084;5,578857;
419;1,747803;3,912354;
420;1,415527;2,524414;
421;1,284912;5,735107;
422;1,740479;8,739502;
423;1,709717;3,050293;
424;1,406494;3,033447;
425;1,049561;2,870361;
426;2,414551;5,365479;
427;1,373779;3,506348;
428;1,714111;5,185791;
429;2,139893;1,26001;
430;1,61084;2,169189;
431;2,117676;1,942383;
432;1,321533;1,898438;
433;1,905029;9,594971;
434;1,476807;2,90332;
435;1,717285;1,742676;
436;1,053467;1,806396;
437;1,960938;1,459229;
438;1,326416;5,813477;
439;1,306885;1,953125;
440;1,782715;4,377197;
441;2,187744;4,472412;
