INDEX;BT;LUGOAP;
0;2,286414;2,073584;
1;3,086431;7,773566;
2;2,366695;7,253302;
3;2,318481;2,881516;
4;2,806305;19,59369;
5;2,968884;3,551113;
6;3,271336;2,328659;
7;2,335068;5,304932;
8;2,282158;3,297844;
9;2,008957;8,811035;
10;2,269615;11,03038;
11;2,292725;4,747276;
12;2,396614;7,083382;
13;2,501678;8,238319;
14;2,339737;4,340256;
15;2,005829;4,034164;
16;2,344543;7,295456;
17;2,383179;8,296814;
18;2,405792;7,474213;
19;2,692368;4,267624;
20;2,32666;13,23334;
21;3,533279;5,246719;
22;3,7659;2,194092;
23;2,955124;5,684875;
24;2,009262;8,170731;
25;2,690781;2,009232;
26;2,311356;5,788635;
27;3,092056;3,227936;
28;3,446381;5,873627;
29;3,203705;5,016296;
30;4,588318;3,391663;
31;2,537231;2,622772;
32;2,172333;11,60767;
33;2,836945;4,04306;
34;3,427124;3,512878;
35;3,063019;3,476959;
36;2,006714;15,77328;
37;2,761414;3,518585;
38;3,895905;3,74408;
39;2,335968;9,084045;
40;2,36676;2,61322;
41;3,104706;7,075317;
42;2,372528;2,127472;
43;2,293274;3,226715;
44;2,90036;3,979645;
45;3,585724;4,334259;
46;2,282166;4,517822;
47;2,745636;2,474365;
48;2,628021;19,95197;
49;2,005829;6,094177;
