INDEX;BT;QGOAP;
0;1,785093;2,094904;
1;1,688759;5,85124;
2;2,516853;4,803143;
3;2,099197;5,760799;
4;2,267159;3,432842;
5;2,545113;4,094883;
6;1,738468;8,721531;
7;2,438934;1,161064;
8;1,791847;8,488144;
9;2,98983;1,150169;
10;2,038719;2,501282;
11;2,050781;6,129219;
12;2,131096;2,288902;
13;1,738312;1,461685;
14;2,311249;1,828751;
15;1,372841;5,047157;
16;1,666573;6,033424;
17;2,144852;6,595139;
18;1,410202;1,569809;
19;1,815628;2,024368;
20;2,468414;6,271576;
21;1,903061;7,056931;
22;1,733566;2,266434;
23;2,344254;9,635742;
24;1,799484;1,820526;
25;1,859955;1,060043;
26;1,715454;3,54454;
27;1,589767;3,030228;
28;3,48999;2,01001;
29;1,481277;7,998718;
30;1,415695;2,424301;
31;2,491608;2,148392;
32;1,395203;13,92479;
33;1,278824;3,661179;
34;2,960846;2,439148;
35;2,391998;6,428009;
36;1,797348;2,342651;
37;1,655426;4,044556;
38;2,077484;5,242523;
39;1,524353;4,995636;
40;1,529572;18,07043;
41;2,733856;2,266144;
42;1,028351;3,511627;
43;1,696625;1,223389;
44;1,491669;19,82831;
45;3,012939;3,807068;
46;1,907318;2,352692;
47;2,167847;5,372131;
48;1,666382;1,453644;
49;1,612701;1,387299;
