INDEX;TOTAL ENEMIES;GOAP ENEMIES;GOAP TIME;QGOAP ENEMIES;QGOAP TIME;
0;14;12;8,907;5;10,034;
1;12;2;19,483;1;10,252;
2;11;2;20,748;3;12,125;
3;13;6;17,028;7;7,049;
4;13;5;14,61;11;6,282;
5;12;10;4,735;10;5,946;
6;15;10;13,144;8;6,88;
7;10;0;30,311;6;8,273;
8;11;5;20,717;3;7,645;
9;12;0;47,355;6;4,835;
10;15;6;19,728;8;7,955;
11;13;6;13,681;10;5,524;
12;13;10;13,254;9;5,305;
13;13;8;11,852;9;6,14;
14;15;9;14,884;13;4,335;
15;14;7;9,508;11;5,175;
16;14;13;5,929;11;3,609;
17;16;10;10,935;12;5,295;
18;15;10;17,223;10;6,776;
19;11;7;9,044;6;6,637;
20;10;0;27,434;0;15,196;
21;10;0;56,081;4;11,947;
22;13;2;25,237;6;9,467;
23;10;0;30,819;4;10,417;
24;12;7;10,076;11;4,032;
25;14;9;13,804;13;3,385;
26;13;3;40,391;5;10,018;
27;13;0;26,439;11;4,363;
28;10;3;23,462;0;10,305;
29;10;0;34,565;6;6,103;
30;14;10;11,45;12;5,853;
31;10;0;43,125;5;11,755;
32;11;7;7,936;7;4,962;
33;8;0;13,311;5;5,967;
34;12;7;14,602;8;7,328;
35;14;11;13,718;8;6,682;
36;14;5;50,691;7;9,22;
37;14;7;20,651;11;5,447;
38;10;5;38,359;3;7,764;
39;9;0;16,402;6;23,678;
40;15;12;6,707;6;8,667;
41;15;8;33,104;14;6,328;
42;12;6;9,513;9;11,047;
43;12;2;22,386;10;5,963;
44;16;8;20,416;14;4,789;
45;14;7;10,001;6;14,122;
46;11;6;13,705;7;6,576;
47;14;12;6,742;12;4,876;
48;12;0;98,219;4;8,047;
49;11;6;18,752;4;9,567;
