INDEX;TOTAL ENEMIES;GOAP ENEMIES;GOAP TIME;QGOAP ENEMIES;QGOAP TIME;
0;13;7;141,813;6;6,51;
1;11;5;8,923;7;4,018;
2;12;8;11,807;7;7,21;
3;13;4;11,301;7;6,807;
4;10;8;5,732;5;11,834;
5;10;5;22,718;7;3,537;
6;15;6;11,523;12;5,306;
7;12;9;3,984;7;5,123;
8;11;5;20,961;8;5,03;
9;11;9;10,254;9;3,856;
10;9;5;26,559;7;3,831;
11;12;6;15,272;7;7,491;
12;13;2;34,144;8;5,211;
13;11;0;21,793;3;23,694;
14;10;7;10,527;6;6,446;
15;13;8;10,614;10;6,232;
16;17;12;12,842;14;7,146;
17;15;5;20,337;11;5,728;
18;15;9;15,361;10;7,228;
19;10;7;6,173;7;10,069;
20;8;0;21,123;0;8,046;
21;14;12;3,185;10;7,969;
22;13;6;34,42;7;7,056;
23;12;4;21,14;4;6,996;
24;14;7;9,702;9;7,568;
25;13;10;9,076;6;7,897;
26;13;9;13,94;8;7,627;
27;11;9;14,941;7;7,544;
28;12;6;22,829;9;4,518;
29;9;5;8,099;4;6,752;
30;10;3;32,523;8;4,814;
31;10;5;15,126;6;8,073;
32;11;7;6,751;8;3,688;
33;12;0;27,297;9;5,832;
34;15;7;25,408;10;5,859;
35;11;6;14,088;5;10,035;
36;11;4;16,578;6;7,557;
37;14;4;29,432;11;5,17;
38;13;6;12,98;11;4,445;
39;11;6;30,023;4;9,164;
40;14;7;35,692;9;9,468;
41;15;8;26,884;8;7,095;
42;15;9;10,783;8;5;
43;13;6;15,379;3;19,825;
44;14;11;4,899;7;8,813;
45;15;5;20,767;11;13,691;
46;13;3;14,147;9;5,052;
47;11;0;42,018;3;12,424;
48;13;4;31,676;11;5,458;
49;11;4;10,863;6;9,973;
