INDEX;TOTAL ENEMIES;GOAP ENEMIES;GOAP TIME;QGOAP ENEMIES;QGOAP TIME;
0;12;4;25,32;11;8,342;
1;15;1;38,345;10;4,557;
2;12;0;15,064;10;6,314;
3;15;8;6,793;10;6,049;
4;11;8;13,719;2;11,704;
5;12;0;92,414;5;11,465;
6;13;0;36,987;7;6,624;
7;14;13;4,32;4;11,676;
8;15;9;19,281;8;7,088;
9;15;11;6,01;8;9,559;
10;14;7;26,435;9;6,633;
11;10;7;9,737;5;5,784;
12;13;4;17,173;11;4,054;
13;11;5;15,766;0;22,249;
14;12;1;28,26;5;8,146;
15;12;4;14,698;3;6,91;
16;10;0;33,325;3;16,651;
17;14;11;19,024;9;7,557;
18;12;4;14,587;5;7,792;
19;10;6;15,035;6;8,913;
20;12;11;7,987;8;5,076;
21;10;5;29,441;8;4,743;
22;13;4;23,647;8;7,411;
23;14;7;9,509;10;4,835;
24;14;9;15,377;6;8,007;
25;10;0;44,334;5;7,332;
26;14;10;6,369;10;5,207;
27;12;3;29,866;4;7,785;
28;11;7;14,479;3;5,834;
29;13;3;21,375;6;7,932;
30;15;8;13,641;10;6,782;
31;13;8;4,792;7;8,492;
32;14;11;14,536;8;11,74;
33;12;0;64,623;9;4,859;
34;13;0;24,288;9;4,474;
35;11;4;54,061;4;7,305;
36;10;3;10,476;0;12,336;
37;12;4;29,177;4;11,371;
38;15;5;17,411;13;4,442;
39;13;9;12,237;8;6,672;
40;12;7;11,091;5;9,657;
41;9;0;107,385;8;6,054;
42;13;8;15,311;10;5,867;
43;13;9;6,059;6;10,998;
44;13;9;8,86;8;6,093;
45;13;7;24,413;10;6,607;
46;14;6;11,506;4;12,683;
47;13;0;93,021;7;8,033;
48;14;7;18,273;12;8,789;
49;13;5;15,65;2;10,425;
